"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (10% density)"
"05/27/2025 01:10:17:180 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10"
"init-total-humans","500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,,"500",,,,,,,,,
"init-n-turtles-infected","10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,
"water-density","10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,,"10",,,,,,,,,
"init-total-mosquitoes","5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,,"5000",,,,,,,,,
"max-ticks","100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,,"100",,,,,,,,,
"[reporter]","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"[final]","101","39.030675866655585","14.31540443927176","5495","5495","290","0","57.99999999999999","5616","495","101","34.63306657585561","13.281116975991827","5478","5462","312","0.2","62.4","5591","478","101","35.80246913580247","13.554526748971194","5501","5501","318","0","63.6","5353","501","101","36.444743708442054","14.03922228768622","5436","5436","334","0","66.8","4246","436","101","35.44876088412592","13.747488278633623","5389","5389","309","0","61.6","4121","389","101","35.991696220050166","13.99532912377822","5435","5435","296","0","59.199999999999996","5127","435","101","35.3277569136224","13.434619324001366","5526","5526","308","0","61.6","6189","526","101","37.34104046242774","13.583815028901732","5537","5537","349","0","69.8","5682","537","101","38.14978738175822","14.26711793803697","5364","5364","307","0","61.4","3832","364","101","35.453840186190845","13.300577536419276","5407","5403","338","0","67.4","4888","407"
"[min]","0","0","0","5000","0","290","0","0","0","0","0","0","0","5000","0","312","0","0","0","0","0","0","0","5000","0","318","0","0","0","0","0","0","0","5000","0","334","0","0","0","0","0","0","0","5000","0","309","0","0","0","0","0","0","0","5000","0","296","0","0","0","0","0","0","0","5000","0","308","0","0","0","0","0","0","0","5000","0","349","0","0","0","0","0","0","0","5000","0","307","0","0","0","0","0","0","0","5000","0","338","0","0","0","0"
"[max]","101","39.09598865816029","17.56693283231564","5495","5495","500","80","87","5616","495","101","34.713430282292556","15.06818937797982","5478","5462","500","73.6","84.2","5591","478","101","35.842078100808536","15.950782997762863","5501","5501","500","73.4","84.8","5353","501","101","36.444743708442054","16.514998314796088","5436","5436","500","82.8","88.4","4246","436","101","35.45172904630328","15.899311531841654","5389","5389","500","78.8","87","4121","389","101","35.99272349272349","16.46923519263945","5435","5435","500","76.2","85","5127","435","101","35.3277569136224","15.590975418116512","5526","5526","500","74","84.39999999999999","6189","526","101","37.362364434141895","16.14015572858732","5537","5537","500","77","89.8","5682","537","101","38.1642931573463","17.128253892784976","5364","5364","500","78.8","85.6","3832","364","101","35.5380486537962","15.457486136783736","5407","5403","500","76.8","87.8","4888","407"
