BehaviorSpace results (NetLogo 6.4.0),Stats version 2.0,,,,,,,,,,,,,,,,,,,,,,
FinalProject.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Effect of Water Density on Dengue Spread (10% density),,,,,,,,,,,,,,,,,,,,,,,
05/27/2025 01:10:17:249 +0800,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,35,0,35,,,,,,,,,,,,,,,,,,,,
init-total-humans,init-n-turtles-infected,water-density,init-total-mosquitoes,max-ticks,[step],(mean) mosquito infect humans,(std) mosquito infect humans,(mean) humans infect mosquito,(std) humans infect mosquito,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
500,10,10,5000,100,0,0,0,0,0,5000,0,0,0,500,0,0,0,0,0,0,0,0,0
500,10,10,5000,100,1,0.221730151,0.209461107,1.924706007,0.649312563,5000,0,161.3,14.1,499.9,0.3,2.28,0.299332591,2.28,0.299332591,287.1,142.4053721,0,0
500,10,10,5000,100,2,0.174011498,0.110079733,2.078297635,0.418118113,5000,0,327.1,17.02615635,499.9,0.3,2.44,0.30724583,2.44,0.30724583,521.9,184.592768,0,0
500,10,10,5000,100,3,0.1544899,0.063239834,2.357175238,0.330848693,5000,0,499.2,13.60735095,499.9,0.3,2.58,0.26,2.58,0.26,732.5,188.601299,0,0
500,10,10,5000,100,4,0.592393792,0.183967381,2.660020462,0.354915189,5000,0,667.4,20.25438224,499.9,0.3,4.84,0.966643678,4.84,0.966643678,982.3,274.8490677,0,0
500,10,10,5000,100,5,0.865628336,0.178291668,3.259800393,0.446626213,5009.7,5.550675635,835.3,20.40612653,499.9,0.3,7,1.095445115,7,1.095445115,1227.5,332.6710838,9.7,5.550675635
500,10,10,5000,100,6,1.121337173,0.157478465,3.939310654,0.535120902,5022.1,7.854298186,994.2,19.27589168,499.9,0.3,9.32,1.146123903,9.32,1.146123903,1558.8,407.9156285,22.1,7.854298186
500,10,10,5000,100,7,1.607235451,0.245371625,4.838889197,0.614238823,5040.1,13.45696846,1155.7,20.21905042,499.8,0.4,13.34,2.082402459,13.78,2.102284472,1748.6,381.7751171,40.1,13.45696846
500,10,10,5000,100,8,2.225685803,0.324873593,6.018334306,0.752290354,5059.9,16.15208965,1326.7,30.50590107,499.4,0.8,18.2,2.4,19.28,2.420247921,1922.7,478.7379346,59.9,16.15208965
500,10,10,5000,100,9,2.836803689,0.358433309,7.294119481,0.934698178,5080.6,20.90071769,1497.9,33.72373052,498.6,1.280624847,23.56,2.871654575,25.1,2.946523375,2181.4,490.7415206,80.6,20.90071769
500,10,10,5000,100,10,3.751685034,0.477694881,8.647770452,1.03285023,5103.9,26.80093282,1663.9,33.68812847,498,1.673320053,30.46,3.498628303,32.78,3.612699821,2298.8,523.1269062,103.9,26.80093282
500,10,10,5000,100,11,4.954704318,0.612445386,10.17890903,1.1114044,5128.8,30.56730279,1828.5,32.94920333,497,1.788854382,39.38,3.590487432,42.34,3.651903613,2504.9,515.4847136,128.8,30.56730279
500,10,10,5000,100,12,6.266166644,0.762923947,11.74081599,1.171490007,5148.1,34.25040146,1994,30.85125605,495.4,3.168595904,48.28,4.015171229,51.8,3.926321434,2681.5,550.2825183,148.1,34.25040146
500,10,10,5000,100,13,7.792171578,0.902971899,13.16543808,1.262915605,5168.9,38.07742113,2163.8,26.97332015,491.7,3.742993454,56.02,3.536608545,60.88,3.471253376,2834.2,552.1698652,168.9,38.07742113
500,10,10,5000,100,14,9.662531239,1.060896547,14.16681044,1.234847516,5185.4,41.05167475,2333.2,28.93371736,487.6,3.878143886,63.36,4.108332995,69.82,3.875512869,3010.4,531.8844235,185.4,41.05167475
500,10,10,5000,100,15,11.63966765,1.259219448,15.05009085,1.129692453,5203.7,44.09319675,2502,30.63657944,482.9,4.948737213,69.14,3.542936635,76.36,3.164553681,3192.1,575.3559681,203.7,44.09319675
500,10,10,5000,100,16,13.79485686,1.415191378,15.66861822,0.93807666,5222,46.02825219,2672,29.95329698,475.7,5.728001397,72.64,3.691937161,80.8,3.1962478,3307.2,557.5081703,222,46.02825219
500,10,10,5000,100,17,15.87237256,1.529376771,16.00545232,0.819958841,5238.2,48.83809988,2834.3,19.93012795,468.3,7.128113355,74.78,3.179245193,83.78,2.47943542,3467.6,551.5014415,238.2,48.83809988
500,10,10,5000,100,18,17.9850894,1.636397783,16.12630927,0.682476977,5253.6,47.73300745,3004.5,23.00108693,459.5,7.338255924,75.68,2.88749026,85.18,2.469736828,3610.4,511.1499193,253.6,47.73300745
500,10,10,5000,100,19,20.0737376,1.617353295,16.0746228,0.615822639,5268.8,48.98326245,3164.9,19.43939299,452.3,9.110982384,76.58,2.763258946,85.92,2.051730977,3781.6,555.3572184,268.8,48.98326245
500,10,10,5000,100,20,21.92205259,1.70088524,15.96074856,0.544608505,5283.7,51.5617106,3331.4,25.83873062,442.5,10.45227248,75.92,2.849842101,85.32,2.092271493,3854.3,596.7143454,283.7,51.5617106
500,10,10,5000,100,21,23.65177384,1.716365757,15.78153712,0.507246075,5297.4,50.57904705,3493.2,24.75398958,434.8,10.43839068,75.4,2.987975904,84.9,2.229349681,3970.4,632.2359053,297.4,50.57904705
500,10,10,5000,100,22,25.19858927,1.687407293,15.5915724,0.465135971,5311.9,51.09686879,3652.5,28.78975512,426.8,10.67520492,75.04,2.991721912,84,2.269801753,4075.4,623.9402535,311.9,51.09686879
500,10,10,5000,100,23,26.5991025,1.699371886,15.39632754,0.434812117,5326.1,50.16064194,3819.8,24.18181135,417.7,9.9,73.96,2.36101673,82.58,1.988869025,4169,611.5696199,326.1,50.16064194
500,10,10,5000,100,24,27.79503643,1.710168627,15.22535975,0.411119653,5337.5,50.98872424,3985.3,26.26804142,409.5,11.41271221,73.42,1.796552254,81.34,2.216393467,4278,637.2622694,337.5,50.98872424
500,10,10,5000,100,25,28.83249838,1.659821509,15.06974575,0.41453484,5347.3,53.62844395,4157,24.94393714,401.5,10.98407939,72.4,1.50465943,79.88,2.128285695,4321,623.5153567,347.3,53.62844395
500,10,10,5000,100,26,29.6987263,1.653048575,14.94810309,0.396011654,5357.8,55.15759241,4326.7,28.81336495,395.6,11.06526095,71.76,1.301691208,78.86,2.198272049,4370.8,592.9308223,357.8,55.15759241
500,10,10,5000,100,27,30.40677437,1.645713012,14.8494116,0.387303597,5367.6,54.89845171,4493.4,25.24757414,389.6,12.25724276,70.62,1.309809146,77.74,2.401749362,4443.2,631.3177964,367.6,54.89845171
