"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:35:721 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"5","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"10","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"6","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"9","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"2","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"3","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"8","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"4","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"1","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"7","500","10","20","5000","100","0","0","0","5000","0","500","0","0","0","0"
"10","500","10","20","5000","100","1","0.15625","1.875","5000","165","500","2.1999999999999997","2.1999999999999997","515","0"
"9","500","10","20","5000","100","1","0.15267175572519084","1.984732824427481","5000","165","500","2.1999999999999997","2.1999999999999997","484","0"
"3","500","10","20","5000","100","1","0.2890173410404624","2.8901734104046244","5000","172","500","2.4","2.4","295","0"
"2","500","10","20","5000","100","1","0.2881844380403458","3.314121037463977","5000","166","500","2.4","2.4","766","0"
"4","500","10","20","5000","100","1","0.3021148036253776","2.56797583081571","5000","179","500","2.4","2.4","286","0"
"8","500","10","20","5000","100","1","0.1524390243902439","2.591463414634146","5000","159","500","2.1999999999999997","2.1999999999999997","683","0"
"1","500","10","20","5000","100","1","0.1529051987767584","2.1406727828746175","5000","152","500","2.1999999999999997","2.1999999999999997","490","0"
"5","500","10","20","5000","100","1","0","1.791044776119403","5000","165","500","2","2","568","0"
"7","500","10","20","5000","100","1","0","2.130681818181818","5000","163","500","2","2","575","0"
"6","500","10","20","5000","100","1","0.3294892915980231","2.3064250411861615","5000","174","500","2.4","2.4","637","0"
"3","500","10","20","5000","100","2","0.361794500723589","2.532561505065123","5000","323","500","3","3","928","0"
"10","500","10","20","5000","100","2","0.15910898965791567","1.7501988862370723","5000","340","500","2.4","2.4","1148","0"
"9","500","10","20","5000","100","2","0.07535795026375283","2.0346646571213265","5000","329","500","2.1999999999999997","2.1999999999999997","1118","0"
"2","500","10","20","5000","100","2","0.15255530129672007","3.585049580472922","5000","337","500","2.4","2.4","1430","0"
"8","500","10","20","5000","100","2","0.2331002331002331","2.4087024087024087","5000","350","500","2.6","2.6","1129","0"
"1","500","10","20","5000","100","2","0.22988505747126436","3.295019157088123","5000","296","500","2.6","2.6","862","0"
"7","500","10","20","5000","100","2","0.14970059880239522","2.1706586826347305","5000","341","500","2.4","2.4","924","0"
"3","500","10","20","5000","100","3","0.3530005042864347","2.8240040342914776","5000","497","500","3.4000000000000004","3.4000000000000004","1548","0"
"10","500","10","20","5000","100","3","0.15471892728210418","2.0629190304280556","5000","512","500","2.6","2.6","1649","0"
"9","500","10","20","5000","100","3","0.15212981744421905","1.9269776876267748","5000","492","500","2.6","2.6","1864","0"
"3","500","10","20","5000","100","4","0.9633911368015413","3.275529865125241","5000","663","500","6.4","6.4","1720","0"
"7","500","10","20","5000","100","3","0.15471892728210418","2.4239298607529656","5000","508","500","2.6","2.6","1542","0"
"10","500","10","20","5000","100","4","0.47751691205730207","2.4273776362912853","5000","678","500","4.2","4.2","1757","0"
"9","500","10","20","5000","100","4","0.4291845493562232","2.22395630120952","5000","668","500","4","4","2282","0"
"4","500","10","20","5000","100","2","0.1558846453624318","2.4941543257989087","5000","345","500","2.4","2.4","816","0"
"8","500","10","20","5000","100","3","0.3105590062111801","2.1739130434782608","5000","529","500","3.2","3.2","1349","0"
"5","500","10","20","5000","100","2","0","2.044025157232704","5000","346","500","2","2","1219","0"
"1","500","10","20","5000","100","3","0.2601456815816858","3.1737773152965656","5000","456","500","3","3","1306","0"
"6","500","10","20","5000","100","2","0.32076984763432237","2.0850040096230953","5000","336","500","2.8000000000000003","2.8000000000000003","890","0"
"3","500","10","20","5000","100","5","1.2445550715619167","4.387056627255756","5006","818","500","9","9","2397","6"
"10","500","10","20","5000","100","5","0.6544502617801047","2.8468586387434556","5018","846","500","5.800000000000001","5.800000000000001","2119","18"
"9","500","10","20","5000","100","5","0.6616257088846881","2.804032766225583","5017","844","500","5.800000000000001","5.800000000000001","2717","17"
