"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (40% density)"
"05/27/2025 01:12:13:054 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","(mean) mosquito_to_human_rate","(std) mosquito_to_human_rate","(mean) human_to_mosquito_rate","(std) human_to_mosquito_rate","(mean) total-mosquitoes","(std) total-mosquitoes","(mean) mosquito-death-toll","(std) mosquito-death-toll","(mean) cur-human-population","(std) cur-human-population","(mean) %infected-humans","(std) %infected-humans","(mean) %recovered-humans","(std) %recovered-humans","(mean) total-larvae","(std) total-larvae","(mean) total-hatched-larvae","(std) total-hatched-larvae"
"500","10","40","5000","100","0","0","0","0","0","5000","0","0","0","500","0","0","0","0","0","0","0","0","0"
"500","10","40","5000","100","1","0.18503493877031402","0.15049765632938158","2.1208799286319038","0.8211209858235513","5000","0","164.8","11.574109036984229","500","0","2.2399999999999998","0.19595917942265426","2.2399999999999998","0.19595917942265426","900.4","340.8733489142265","0","0"
"500","10","40","5000","100","2","0.20829206163323494","0.09778216303022119","2.1301187874104834","0.5221781556290052","5000","0","327.6","13.016912076218384","500","0","2.54","0.25377155080899055","2.54","0.25377155080899055","1926.1","473.7620605324998","0","0"
"500","10","40","5000","100","3","0.22883414262261104","0.06254344121240633","2.3718170115211805","0.4655481044106708","5000","0","487.7","22.636474990598693","500","0","2.8600000000000003","0.23748684174075835","2.8600000000000003","0.23748684174075835","2972.4","538.3997028230979","0","0"
"500","10","40","5000","100","4","0.6563110294798766","0.2201920200173249","2.691848445862503","0.5095239646315346","5000","0","658.1","21.81948670340345","499.9","0.3","5.040000000000001","1.026839812239475","5.040000000000001","1.026839812239475","4112.1","718.26714389564","0","0"
"500","10","40","5000","100","5","0.9090105750671759","0.22552345797012763","3.309004671548837","0.7861764549672849","5029.4","11.876026271442818","826.9","30.677190223356508","499.9","0.3","7.199999999999998","1.3175735273600482","7.199999999999998","1.3175735273600482","5235.3","882.7103771906162","29.4","11.876026271442818"
"500","10","40","5000","100","6","1.1433500358602227","0.23582029255559234","4.023111139871465","1.0187441480428503","5087.5","27.62697956708261","994.7","31.799528298388324","499.9","0.30000000000000004","9.58","1.5606408939919523","9.58","1.5606408939919523","6317","965.078856881654","87.5","27.62697956708261"
"500","10","40","5000","100","7","1.6126585025590772","0.33767241395423075","5.0945854264391865","1.1006789403489843","5161.1","41.02547988750406","1165.9","29.84778048699769","499.7","0.45825756949558405","13.280000000000001","2.3016515809305282","13.879999999999999","2.27367543857957","7147.6","1054.028291840404","161.1","41.02547988750406"
"500","10","40","5000","100","8","2.167709491369758","0.46519820828358593","6.260141035835664","1.3864654310051434","5253.8","52.88062026867688","1337.6","33.78816360798556","499.3","0.6403124237432849","18.08","3.1764130713746908","19.16","3.1442646199071733","7819.8","985.7308760508621","253.8","52.88062026867688"
"500","10","40","5000","100","9","2.837559425780052","0.6400413937904562","7.592387872292603","1.690080822982467","5354.5","66.963049512399","1498.2","27.755359842740283","498.1","1.1357816691600546","23.5","4.272001872658766","25.060000000000002","4.294228685107489","8640.5","1009.2692653598443","354.5","66.963049512399"
"500","10","40","5000","100","10","3.822049946374693","0.8131706040769773","9.185847188962745","1.847510167743427","5460.4","75.88965673924214","1662.5","28.341665441536776","496.7","1.6155494421403513","31.46","4.8448322984392345","33.67999999999999","4.918699014983536","9565","1131.8326731456377","460.4","75.88965673924214"
"500","10","40","5000","100","11","4.961113292433315","1.1095089271040135","10.803815823126692","1.9348885241764922","5550.6","80.11142240654574","1841.9","21.901826407859232","495.1","2.5475478405713994","40.699999999999996","5.937844726834813","43.220000000000006","5.809268456527034","10299.3","1296.776006101285","550.6","80.11142240654574"
"500","10","40","5000","100","12","6.310618118506317","1.388718597032862","12.611293675174329","1.9441957506185268","5632.1","85.3","2008","29.70521839677332","491.5","3.930648801406709","48.980000000000004","6.985384742446189","52.260000000000005","7.00174264022893","11118.4","1333.914629952007","632.1","85.3"
"500","10","40","5000","100","13","8.012839530938264","1.5893937470666692","14.247761007901053","1.9084404622192888","5704.3","87.63224292462222","2178.6","28.95582842883277","488.9","4.7212286536451495","57.82000000000001","6.844822861111891","61.79999999999999","6.808230313378066","11835.2","1348.5152427762914","704.3","87.6322429246222"
"500","10","40","5000","100","14","9.970632868358788","1.8376639837496913","15.721708530121342","1.7998046083486776","5786.4","96.32984999469271","2344.6","23.62710308099577","483.3","6.4815121692395214","64.53999999999999","5.574979820591282","69.82","5.326499788791887","12663.2","1399.9599851424327","786.4","96.32984999469272"
