(mean) mosquito_to_human_rate,(std) mosquito_to_human_rate,(mean) human_to_mosquito_rate,(std) human_to_mosquito_rate,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
0,0,0,0,5000,0,0,0,500,0,0,0,0,0,0,0,0,0
0.182307185,0.113313339,2.359229094,0.457337528,5000,0,166,7.252585746,500,0,2.24,0.149666295,2.24,0.149666295,529.9,145.850917,0,0
0.183815712,0.102013311,2.440003837,0.552282668,5000,0,334.3,14.85967698,500,0,2.48,0.271293199,2.48,0.271293199,1046.4,184.325907,0,0
0.211497231,0.084420696,2.440677387,0.407587545,5000,0,503.2,19.95895789,500,0,2.82,0.328024389,2.82,0.328024389,1555.7,227.5812163,0,0
0.676554807,0.20111184,2.827551769,0.432332747,5000,0,673.1,16.85496959,500,0,5.22,0.927146159,5.22,0.927146159,2020.7,215.937051,0,0
0.979175139,0.241783231,3.473296581,0.540019771,5019,6.164414003,839.3,22.48577328,500,0,7.66,1.40014285,7.66,1.40014285,2489.5,238.8925491,19,6.164414003
1.18593943,0.228501527,4.225612234,0.566885869,5050.8,11.29424632,1005.6,18.73072342,499.8,0.4,9.92,1.339253523,9.92,1.339253523,3024.6,333.013273,50.8,11.29424632
1.750066802,0.326353216,5.232910885,0.72923451,5088.3,18.55289735,1174.3,17.48742405,499.6,0.663324958,14.48,2.406989821,14.9,2.327659769,3458.1,398.5030615,88.3,18.55289735
2.376879015,0.451793341,6.507754073,0.873869781,5129.2,20.85089926,1347,18.70828693,499.1,0.830662386,19.84,3.396233208,20.82,3.252629705,3942.5,483.8353542,129.2,20.85089926
3.031441189,0.478101397,7.967268474,1.095166931,5173.9,23.71265485,1504.7,20.18935363,498.4,1.280624847,25.26,3.744916554,26.84,3.687600846,4464.9,436.3410249,173.9,23.71265485
4.04069655,0.642615272,9.513278154,1.303320402,5221.2,27.68320791,1666.7,21.07154479,497.8,1.326649916,33.14,4.262440615,35.66,4.641594554,4911.4,501.2027933,221.2,27.68320791
5.277456024,0.78256585,11.0612394,1.458822902,5266.6,30.63070355,1826.8,19.68654363,495.5,1.688194302,41.4,4.617358552,44.72,5.239236586,5287.1,476.1170969,266.6,30.63070355
6.676116196,0.909718867,12.63764364,1.428771379,5313,42.52293499,1991.6,23.37605613,493.2,2.821347196,49.82,4.692504662,53.98,5.300905583,5665.4,518.5005689,313,42.52293499
8.41517831,1.209257334,14.02258638,1.396380987,5359.8,49.40404842,2160.6,26.13885996,490.1,3.144837039,58.32,5.800827527,63.3,6.588626564,6041.9,443.7660307,359.8,49.40404842
10.37379238,1.492372513,15.21117868,1.400513543,5404.2,49.53342306,2326.9,25.1771722,485.5,3.853569774,65.38,5.224901913,71.18,6.044137656,6417.2,412.2498757,404.2,49.53342306
12.45410206,1.591040324,16.14869157,1.309275271,5446.1,54.7438581,2490.3,25.84975822,479.2,5.015974482,70.6,3.258220373,77.38,4.321527508,6732.3,497.4484998,446.1,54.7438581
14.73114576,1.823773796,16.79052391,1.104724394,5485,58.92367945,2660,31.18653556,470.8,6.76461381,74.46,3.260736113,81.74,3.840885315,6976.2,524.094419,485,58.92367945
17.00148389,2.05454556,17.07079247,0.964401595,5520.6,56.83168131,2827.7,32.74767167,462.2,10.08761617,76.86,2.570680844,84.3,3.021588986,7305.1,494.6553244,520.6,56.83168131
19.30181052,2.044254836,17.17362689,0.868341483,5555.7,51.42382716,2998.9,32.86167981,452.1,11.03131905,77.56,1.452721584,85.02,2.088923168,7588,565.373328,555.7,51.42382716
21.44466415,2.095761494,17.1526788,0.766701722,5589.9,51.05575384,3166.7,35.22797184,443.3,12.41007655,77.92,1.305986217,85.08,1.804882268,7954.9,529.428456,589.9,51.05575384
23.43145387,2.191581683,17.03421285,0.624294946,5618.9,53.6049438,3326,29.95663533,434.1,12.26743657,77.68,1.676186147,84.32,1.970177657,8193.3,593.2166636,618.9,53.6049438
25.27381198,2.164447695,16.87862372,0.555692092,5649.4,55.33570276,3492.1,26.15511422,424.3,11.92518344,77.08,1.901998948,83.1,1.850945704,8415.8,654.5906813,649.4,55.33570276
26.97326065,2.135781547,16.67219551,0.538608136,5676.2,55.8118267,3660.9,21.97930845,413.9,11.24677732,76.1,1.690562037,81.62,1.853537159,8723.3,668.214494,676.2,55.8118267
28.48991298,2.139599852,16.45485274,0.510090313,5704.1,55.03171813,3821,12.67280553,404.3,12.32112008,75.34,2.021979228,80.28,2.320689553,8899.7,682.4119064,704.1,55.03171813
29.84827403,2.097268697,16.28183724,0.493751185,5731.1,56.9481343,3989.8,16.46693657,395.7,12.8844868,74.14,2.095805334,78.8,2.578371579,9131.2,731.5624102,731.1,56.9481343
31.06683748,2.095178903,16.11134047,0.473039434,5755.7,59.45763197,4157.7,21.75339054,389.6,12.6427845,73.36,2.302694074,77.66,2.555073384,9331.5,718.7101293,755.7,59.45763197
32.05034223,2.071169466,15.98596974,0.452149759,5783.8,63.71153742,4325.6,28.38732111,382.6,14.0014285,72.3,2.223960431,76.32,2.824464551,9454.4,750.2205276,783.8,63.71153742
32.93776179,2.0404168,15.86612014,0.437963577,5805.3,64.79513871,4490.7,23.59682182,375.6,15.91351627,71.3,2.83019434,74.92,3.2052457,9601.6,753.3512063,805.3,64.79513871
33.71359856,2.03872595,15.75674382,0.423993325,5826,67.81592733,4665.3,19.51947745,368,14.97998665,69.64,2.747799119,73.48,3.038683926,9743.8,745.2929357,826,67.81592733
34.32763628,2.031311984,15.68823241,0.419493981,5845.1,67.47658853,4833.6,12.19180052,362.8,15.25647404,67.8,3.133049633,72.46,3.080324658,9826.2,720.8697247,845.1,67.47658853
34.84501462,2.029709797,15.64089834,0.407414062,5863.9,66.74196581,5000,0,358.6,15.5704849,65.58,3.169163928,71.66,3.108761811,9889.3,708.1768211,863.9,66.74196581
35.3845468,2.017867512,15.57043472,0.401200032,5878.7,65.2702842,5000,0,353.8,14.70238076,63.1,2.722131518,70.76,2.940476152,9954.2,739.5444273,878.7,65.2702842
35.88910508,2.010089885,15.50523261,0.403485003,5894.3,65.78001216,5000,0,349.3,13.9,60.32,2.79742739,69.86,2.78,10106.7,804.515264,894.3,65.78001216
36.42992896,1.990061846,15.42494758,0.39697513,5906,66.19214455,5000,0,345.2,14.14779135,56.66,3.253367486,69.04,2.829558269,10199.9,836.6519527,906,66.19214455
36.95651011,1.990974454,15.33981757,0.393521901,5915.5,65.57934126,5000,0,340.1,13.65613415,53.22,3.842343035,68.02,2.731226831,10349.6,839.1033548,915.5,65.57934126
37.46293293,1.981114735,15.24522632,0.388112368,5924.5,67.55479258,5019,6.164414003,336.9,14.24394608,49.76,3.702755731,67.38,2.848789216,10433.5,824.2015834,924.5,67.55479258
37.97500461,1.954167138,15.14231689,0.395166653,5935.9,68.70291115,5050.8,11.29424632,333.7,14.61540283,46.22,4.236460787,66.74,2.923080567,10532.1,839.0203156,935.9,68.70291115
38.45785903,1.95893887,15.04670316,0.398802531,5945.9,73.40088555,5088.3,18.55289735,331.9,14.0388746,42.98,4.437521831,66.38,2.80777492,10621.5,834.7916207,945.9,73.40088555
38.89362083,1.963547373,14.96510361,0.39976967,5956.6,74.94024286,5129.2,20.85089926,329.9,13.42721118,39.94,4.627785648,65.98,2.685442235,10732.5,837.4529539,956.6,74.94024286
39.33166833,1.954859857,14.87763882,0.405108308,5966.8,76.42355658,5173.9,23.71265485,327.5,13.24575404,36.72,5.165423506,65.5,2.649150807,10844.9,912.9594131,966.8,76.42355658
39.73086785,1.962546806,14.79551949,0.398925979,5977.8,78.44845441,5221.2,27.68320791,325.1,12.72360012,33.36,5.236640144,65.02,2.544720024,10953.8,898.3486851,977.8,78.44845441
40.09134768,1.961852295,14.71628977,0.385903674,5987.8,77.77763175,5266.6,30.63070355,322.8,12.85923792,30.8,5.45087149,64.56,2.571847585,11045.5,876.1309548,987.8,77.77763175
40.44199178,1.953437836,14.64489271,0.387005209,5995.2,78.42678114,5313,42.52293499,321.5,13.15484702,28.3,5.398703548,64.3,2.630969403,11148.5,875.2259423,995.2,78.42678114
40.76351411,1.93780064,14.57701595,0.38583598,6003.8,78.33364539,5359.8,49.40404842,320.5,12.90155029,26.76,5.458791075,64.1,2.580310059,11259.9,867.8869108,1003.8,78.33364539
41.04346093,1.933290509,14.51723522,0.378998372,6012.8,78.72712366,5404.2,49.53342306,317.7,12.90774961,25,5.31714209,63.54,2.581549922,11320.5,878.783392,1012.8,78.72712366
41.31997358,1.916923069,14.45910203,0.371972938,6021.8,79.08956948,5446.1,54.7438581,316.3,12.75970219,23.58,5.139221731,63.26,2.551940438,11368.8,872.2649597,1021.8,79.08956948
41.55719203,1.908718422,14.4122362,0.362829521,6031.7,78.09359769,5485,58.92367945,315.1,12.78632082,22.24,5.223638579,63.02,2.557264163,11458.7,849.9841234,1031.7,78.09359769
41.77275248,1.911542055,14.36371919,0.349482295,6040.5,77.31138338,5520.6,56.83168131,313.8,13.22724461,21.06,5.308144685,62.76,2.645448922,11524.2,855.8995034,1040.5,77.31138338
41.97090068,1.917264366,14.32352504,0.337005072,6048.6,77.9515234,5555.7,51.42382716,313,13.07669683,19.76,4.964514075,62.6,2.615339366,11610.8,862.5707855,1048.6,77.9515234
42.1506674,1.911120376,14.28098371,0.338662558,6054.9,78.1939256,5589.9,51.05575384,312,12.7984374,18.56,4.714064064,62.4,2.559687481,11648.8,869.5628557,1054.9,78.1939256
42.312242,1.908263881,14.2432776,0.338358333,6062,76.41727553,5618.9,53.6049438,311.5,12.71416533,17.78,4.403135247,62.3,2.542833066,11682,846.1761046,1062,76.41727553
42.47118115,1.900032576,14.20792291,0.336834233,6068.1,75.86890008,5649.4,55.33570276,310.3,12.5463142,16.54,4.136713672,62.06,2.50926284,11728.6,835.5975347,1068.1,75.86890008
42.61001258,1.89293807,14.17592053,0.339103648,6075.2,75.63702797,5676.2,55.8118267,309.7,12.32923355,15.36,3.90158942,61.94,2.465846711,11791.8,855.5578063,1075.2,75.63702797
42.73668395,1.894582507,14.14646569,0.339758889,6080.9,76.60868097,5704.1,55.03171813,309.1,12.42135258,14.16,3.620828634,61.82,2.484270517,11832.2,852.2418436,1080.9,76.60868097
42.8630296,1.892375998,14.11788155,0.336931305,6086.2,77.08021796,5731.1,56.9481343,308.5,12.06026534,13.06,3.361011752,61.7,2.412053067,11887.9,874.3712541,1086.2,77.08021796
42.96553835,1.885933873,14.08919657,0.335114316,6091,77.2541261,5755.7,59.45763197,308,11.73882447,12.32,3.117948043,61.6,2.347764895,11952.2,860.3787306,1091,77.2541261
43.05938855,1.881349708,14.05833579,0.333398877,6095.7,77.3434548,5783.8,63.71153742,307.6,11.68931136,11.28,2.855450928,61.52,2.337862271,12009,850.4980894,1095.7,77.3434548
43.14079279,1.883691849,14.03350208,0.333690283,6099.8,78.13296359,5805.3,64.79513871,306.8,11.17855089,10.34,2.413379373,61.36,2.235710178,12038.9,841.4649666,1099.8,78.13296359
43.20666466,1.882227889,14.0110796,0.332586752,6105.1,79.23313701,5826,67.81592733,306.5,11.43896848,9.82,2.508306201,61.3,2.287793697,12074.9,814.9699933,1105.1,79.23313701
43.26475539,1.881866021,13.99073673,0.331005437,6110.2,79.88466686,5845.1,67.47658853,306.2,11.30309692,9.04,2.401332963,61.24,2.260619384,12089.3,824.6991027,1110.2,79.88466686
43.32003059,1.878364149,13.96946869,0.3316505,6115.3,80.10249684,5863.9,66.74196581,305.4,11.11035553,8.3,2.279034883,61.08,2.222071106,12133.8,846.6288207,1115.3,80.10249684
43.36445602,1.881209852,13.94841431,0.328513965,6120,79.74584629,5878.7,65.2702842,304.6,11.63786922,7.54,2.154158769,60.92,2.327573844,12175.6,849.3639032,1120,79.74584629
43.39761579,1.88222273,13.93314563,0.327358576,6123.1,78.72159805,5894.3,65.78001216,304.3,11.50695442,7.04,2.262388119,60.86,2.301390884,12228.4,834.1369432,1123.1,78.72159805
43.43882553,1.87961889,13.91213804,0.325297426,6126.7,78.01288355,5906,66.19214455,303.8,11.85580027,6.42,2.19171166,60.76,2.371160054,12263.8,857.0492168,1126.7,78.01288355
43.46741415,1.872953019,13.89375838,0.32434863,6130.8,77.95742428,5915.5,65.57934126,303.8,11.85580027,6.16,2.138784702,60.76,2.371160054,12301.1,877.1880585,1130.8,77.95742428
43.49622738,1.874305764,13.87510983,0.323275509,6135.3,78.55704933,5924.5,67.55479258,303.6,12.14248739,5.84,1.979494885,60.72,2.428497478,12341.3,857.241862,1135.3,78.55704933
43.52804968,1.871410243,13.85803605,0.324447806,6140.8,79.09841971,5935.9,68.70291115,303.1,11.97873115,5.48,2.004395171,60.62,2.39574623,12344.7,858.3199928,1140.8,79.09841971
43.54209524,1.861086548,13.84022315,0.32794568,6145.5,80.14018967,5945.9,73.40088555,302.8,11.88107739,5.2,2.070748657,60.56,2.376215478,12371.1,857.7644723,1145.5,80.14018967
43.55904759,1.853715009,13.82682339,0.326848258,6149,81.4162146,5956.6,74.94024286,302.6,11.78303866,4.7,2.19317122,60.52,2.356607731,12377.9,859.6926718,1149,81.4162146
43.57574022,1.844007943,13.80926406,0.32383388,6153.3,81.30319797,5966.8,76.42355658,302.6,11.78303866,4.52,2.238213573,60.52,2.356607731,12398,874.1998627,1153.3,81.30319797
43.5809055,1.836608465,13.79207921,0.325863746,6156,80.93454145,5977.8,78.44845441,302.6,11.78303866,4.16,2.129413065,60.52,2.356607731,12413.1,872.6134826,1156,80.93454145
43.58839121,1.830127942,13.77869844,0.324348748,6158.2,80.99604929,5987.8,77.77763175,302.6,11.78303866,4,2.236067977,60.52,2.356607731,12420.5,858.0000291,1158.2,80.99604929
43.59346558,1.817818049,13.76729632,0.322442087,6159.3,80.43139934,5995.2,78.42678114,302.5,11.69829047,3.66,2.245083517,60.5,2.339658095,12429,861.4579502,1159.3,80.43139934
43.58961924,1.807427637,13.75234056,0.325294552,6161.5,79.42952851,6003.8,78.33364539,302.3,11.60215497,3.52,2.261327044,60.46,2.320430994,12442,841.7316675,1161.5,79.42952851
43.59058533,1.796973308,13.73785592,0.327349853,6163.2,79.83833666,6012.8,78.72712366,302.1,11.58835623,3.22,2.268832299,60.42,2.317671245,12442,841.7316675,1163.2,79.83833666
43.58714449,1.779231237,13.72392205,0.325593705,6164.8,79.90969904,6021.8,79.08956948,302,11.58447237,3,2.150348809,60.4,2.316894473,12463.9,864.098889,1164.8,79.90969904
43.58330346,1.769179188,13.70961151,0.326411964,6165.7,79.33353641,6031.7,78.09359769,301.9,11.58835623,2.92,2.122639866,60.38,2.317671245,12467.4,871.117581,1165.7,79.33353641
